sample	tree_age	colonization_age	subroot_range
1	23.3517	22.5011	16
2	18.3036	6.15679	16
3	29.8633	10.7037	16
4	19.3174	18.9538	16
5	28.4394	28.401	16
6	20.1393	7.56447	16
7	29.6272	15.3483	16
8	26.2445	23.4443	16
9	13.9768	13.8243	16
10	19.2798	6.7483	16
11	21.0777	7.79073	16
12	25.5961	9.44494	16
13	26.5707	14.555	16
14	11.2273	9.94812	16
15	24.7029	24.0185	16
16	27.2459	20.5334	16
17	20.3029	10.2945	16
18	19.7157	11.1045	16
19	28.0399	23.4647	16
20	8.05196	8.04503	16
21	16.2273	6.62485	16
22	28.3226	27.9939	16
23	17.2536	9.87964	16
24	20.4072	6.55222	16
25	14.3264	12.5144	16
26	24.5247	24.5147	16
27	21.7672	12.7824	16
28	9.86944	6.10208	17
29	27.6484	16.0411	16
30	25.9532	16.9838	16
31	25.8278	10.5664	16
32	15.6458	13.0088	16
33	10.9058	9.42846	16
34	12.2355	12.0155	16
35	25.4987	23.7937	16
36	25.3368	14.1919	16
37	27.8779	27.2675	16
38	13.6172	13.2819	16
39	10.3386	7.05245	16
40	28.5432	28.4983	16
41	11.9464	7.26469	16
42	19.5588	7.88818	16
43	25.2967	9.29789	16
44	22.0126	21.9526	16
45	16.6538	16.4441	16
46	16.6794	10.6856	16
47	23.5448	11.6392	16
48	12.7051	11.8018	16
49	24.0058	22.4501	16
50	24.6267	10.6261	16
51	26.1156	25.959	16
52	13.878	12.223	16
53	13.2356	10.9876	16
54	19.8704	13.6147	16
55	22.4491	18.9391	16
56	21.0566	14.5145	16
57	16.3851	7.42879	16
58	13.3233	7.31675	16
59	21.7064	18.7325	16
60	22.9176	9.02516	16
61	18.7281	18.285	16
62	14.3906	14.1468	16
63	22.3352	17.6014	16
64	9.11273	7.35417	16
65	29.422	8.82017	16
66	16.1732	12.0407	16
67	18.8299	17.8428	16
68	26.602	26.3532	16
69	18.228	13.6246	16
70	19.0857	11.913	16
71	20.2222	15.0823	16
72	26.5848	9.31446	16
73	27.7054	24.8567	16
74	21.0249	11.2378	16
75	18.3918	18.3207	16
76	16.3702	8.09517	16
77	25.8057	15.8113	16
78	19.7357	8.69262	16
79	28.8943	7.69774	16
80	14.851	14.6723	16
81	20.4503	15.8688	16
82	26.1538	25.6523	16
83	11.8019	7.57227	16
84	29.878	21.7441	16
85	20.0767	19.9668	16
86	27.4006	27.1936	16
87	15.1433	7.86989	16
88	23.399	20.2497	16
89	12.4841	7.36154	16
90	11.001	8.86528	16
91	29.7318	16.2561	16
92	27.6035	26.7555	16
93	20.857	15.3292	16
94	22.9466	8.77599	16
95	24.8847	9.17988	16
96	26.7337	24.8317	16
97	26.3545	10.5216	16
98	26.9732	13.5732	16
99	21.1763	8.13726	16
100	14.029	9.67353	16
